prompt_id,category,difficulty,persona,difficulty_rationale,category_rationale
P000001,execution_microstructure,1,Spot Trader,,
P000002,execution_microstructure,1,Scalper,,
P000003,backtesting,3,RV Trader,,
P000004,backtesting,3,Portfolio Manager,,
P000005,historical_pricing,1,Spot Trader,,
P000006,historical_pricing,1,Portfolio Manager,,
P000007,historical_query,5,Portfolio Manager,,
P000008,historical_query,5,Macro Analyst,,
P000009,data_quality_reconciliation,5,Risk Manager,,
P000010,data_quality_reconciliation,5,Macro Analyst,,
P000011,pnl_attribution,4,Portfolio Manager,,
P000012,pnl_attribution,4,Options Trader,,
P000013,market_query,2,Spot Trader,,
P000014,market_query,2,Research Analyst,,
P000015,liquidity_transaction_cost,4,Portfolio Manager,,
P000016,liquidity_transaction_cost,4,Macro Analyst,,
P000017,event_risk_calendar,2,Macro Analyst,,
P000018,event_risk_calendar,2,Research Analyst,,
P000019,relative_value,3,RV Trader,,
P000020,relative_value,3,Vol RV Trader,,
P000021,relative_value,1,RV Trader,,
P000022,relative_value,1,Spot Trader,,
P000023,relative_value,4,Fixed Income Portfolio Manager,,
P000024,relative_value,4,Vol RV Trader,,
P000025,pricing,1,Spot Trader,,
P000026,pricing,1,Macro Analyst,,
P000027,backtesting,2,Quant,,
P000028,backtesting,2,Portfolio Manager,,
P000029,execution_microstructure,3,Spot Trader,,
P000030,execution_microstructure,3,Portfolio Manager,,
P000031,execution_microstructure,2,Spot Trader,,
P000032,execution_microstructure,2,FX Trader,,
P000033,portfolio_analytics,3,Portfolio Manager,,
P000034,portfolio_analytics,3,Research Analyst,,
P000035,pnl_attribution,2,Macro Analyst,,
P000036,pnl_attribution,2,Portfolio Manager,,
P000037,vol_surface_analysis,4,Macro Analyst,,
P000038,vol_surface_analysis,4,Risk Manager,,
P000039,vol_surface_analysis,1,Options Trader,,
P000040,vol_surface_analysis,1,Vol RV Trader,,
P000041,execution_microstructure,4,Spot Trader,,
P000042,execution_microstructure,4,Quant,,
P000043,carry_roll_analysis,1,Macro Analyst,,
P000044,carry_roll_analysis,1,Research Analyst,,
P000045,liquidity_transaction_cost,3,Spot Trader,,
P000046,liquidity_transaction_cost,3,Risk Manager,,
